"soi_name","master_comp_security_name","family_name","security_type"
Duraco Specialty Tapes LLC,Duraco (Term Loan),The Duraco Group,First Lien
Duraco Specialty Tapes LLC - Unfunded Term Loan,Duraco (DDTL),The Duraco Group,First Lien
ECL Entertainment,ECL Entertainment (Term Loan),ECL Entertainment,First Lien
"ECL Entertainment, LLC",ECL Entertainment (Term Loan),ECL Entertainment,First Lien
"ECM Industries, LLC",ECM Industries (TL),ECM Industries,First Lien
"ECM Industries, LLC - Funded Revolver",ECM Industries (RC),ECM Industries,First Lien
"ECM Industries, LLC - Unfunded Revolver",ECM Industries (RC),ECM Industries,First Lien
"ECM Investors, LLC",ECM Industries (Common Equity),ECM Industries,Common Equity
"ECM Investors, LLC (Common)",ECM Industries (Common Equity),ECM Industries,Common Equity
"EDS Buyer, LLC",Epiq (TL),Epiq,First Lien
"EDS Buyer, LLC",Epiq (Revolver),Epiq,First Lien
"EDS Buyer, LLC ",Epiq (DDTL),Epiq,First Lien
"EDS Topco, LLC",Epiq (Common),Epiq,Common Equity
ENC Parent Corporation,Evans Network (1L),Evans Network,First Lien
ENC Parent Corporation,Evans Network (2L),Evans Network,Second Lien
ETE INTERMEDIATE II LLC,Engine & Transmission Exchange (Term Loan),Engine & Transmission Exchange,First Lien
ETE INTERMEDIATE II LLC,Engine & Transmission Exchange (Revolver),Engine & Transmission Exchange,First Lien
"ETX Energy Management Company, LLC (f/k/a NGR Management Company, LLC)",New Gulf Resources (Common),New Gulf Resources,Common Equity
"ETX Energy, LLC",New Gulf Resources (Preferred),New Gulf Resources,Preferred Equity
"ETX Energy, LLC (f/k/a New Gulf Resources, LLC)",New Gulf Resources (Common),New Gulf Resources,Common Equity
EVAL HOME HEALTH SOLUTIONS INTERMEDIATE L.L.C.,EvAl (Term Loan),EvAl,First Lien
EVAL HOME HEALTH SOLUTIONS INTERMEDIATE L.L.C.,EvAl (Revolver),EvAl,First Lien
